severity	updateDate	comments	line	fromHotspot	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MAJOR	2019-08-16T16:53:36+0700	[]	59.0	false	squid:CommentedOutCodeLine	omni-svu-connector-all	5min	This block of commented-out lines of code should be removed.	2019-08-16T16:53:36+0700	CODE_SMELL	[based-on-misra, unused]	omni-svu-connector-all:svu-inbox-service/src/main/java/com/dxc/diaas/svu/inbox/WsConfig.java	[]	default-organization	{startLine=59.0, endLine=59.0, startOffset=0.0, endOffset=70.0}	5min	AWyZ3VDyaNha9nbSKYxr	5498c024fee6fb7ba733f2a098224eca	OPEN
MAJOR	2019-08-16T16:53:36+0700	[]	61.0	false	squid:CommentedOutCodeLine	omni-svu-connector-all	5min	This block of commented-out lines of code should be removed.	2019-08-16T16:53:36+0700	CODE_SMELL	[based-on-misra, unused]	omni-svu-connector-all:svu-inbox-service/src/main/java/com/dxc/diaas/svu/inbox/WsConfig.java	[]	default-organization	{startLine=61.0, endLine=61.0, startOffset=0.0, endOffset=38.0}	5min	AWyZ3VDyaNha9nbSKYxs	c4bd4633be1275cdfe2cc72de3f69eec	OPEN
CRITICAL	2019-08-16T16:53:36+0700	[]	2214.0	false	squid:S3776	omni-svu-connector-all	1h4min	Refactor this method to reduce its Cognitive Complexity from 74 to the 15 allowed.	2019-08-16T16:53:36+0700	CODE_SMELL	[brain-overload]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java	[{locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2226.0, endLine=2226.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2228.0, endLine=2228.0, startOffset=10.0, endOffset=13.0}, msg=+2 (incl 1 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2231.0, endLine=2231.0, startOffset=11.0, endOffset=13.0}, msg=+3 (incl 2 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2231.0, endLine=2231.0, startOffset=108.0, endOffset=110.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2236.0, endLine=2236.0, startOffset=11.0, endOffset=15.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2246.0, endLine=2246.0, startOffset=8.0, endOffset=10.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2249.0, endLine=2249.0, startOffset=9.0, endOffset=13.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2253.0, endLine=2253.0, startOffset=8.0, endOffset=10.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2255.0, endLine=2255.0, startOffset=9.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2257.0, endLine=2257.0, startOffset=10.0, endOffset=14.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2262.0, endLine=2262.0, startOffset=9.0, endOffset=13.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2271.0, endLine=2271.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2273.0, endLine=2273.0, startOffset=11.0, endOffset=15.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2279.0, endLine=2279.0, startOffset=3.0, endOffset=5.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2279.0, endLine=2279.0, startOffset=39.0, endOffset=41.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2286.0, endLine=2286.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2287.0, endLine=2287.0, startOffset=10.0, endOffset=13.0}, msg=+2 (incl 1 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2289.0, endLine=2289.0, startOffset=11.0, endOffset=13.0}, msg=+3 (incl 2 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2289.0, endLine=2289.0, startOffset=86.0, endOffset=88.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2292.0, endLine=2292.0, startOffset=13.0, endOffset=16.0}, msg=+4 (incl 3 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2294.0, endLine=2294.0, startOffset=14.0, endOffset=16.0}, msg=+5 (incl 4 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2295.0, endLine=2295.0, startOffset=15.0, endOffset=17.0}, msg=+6 (incl 5 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2312.0, endLine=2312.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2312.0, endLine=2312.0, startOffset=41.0, endOffset=43.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2314.0, endLine=2314.0, startOffset=11.0, endOffset=15.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2323.0, endLine=2323.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2323.0, endLine=2323.0, startOffset=98.0, endOffset=100.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2327.0, endLine=2327.0, startOffset=10.0, endOffset=14.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2331.0, endLine=2331.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2335.0, endLine=2335.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2337.0, endLine=2337.0, startOffset=10.0, endOffset=14.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2342.0, endLine=2342.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2345.0, endLine=2345.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2350.0, endLine=2350.0, startOffset=9.0, endOffset=12.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2352.0, endLine=2352.0, startOffset=13.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2352.0, endLine=2352.0, startOffset=46.0, endOffset=48.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2353.0, endLine=2353.0, startOffset=13.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2353.0, endLine=2353.0, startOffset=133.0, endOffset=135.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2362.0, endLine=2362.0, startOffset=14.0, endOffset=16.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2362.0, endLine=2362.0, startOffset=134.0, endOffset=136.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2372.0, endLine=2372.0, startOffset=9.0, endOffset=12.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2374.0, endLine=2374.0, startOffset=10.0, endOffset=12.0}, msg=+2 (incl 1 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2374.0, endLine=2374.0, startOffset=40.0, endOffset=42.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2375.0, endLine=2375.0, startOffset=13.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2375.0, endLine=2375.0, startOffset=125.0, endOffset=127.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2385.0, endLine=2385.0, startOffset=14.0, endOffset=16.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2385.0, endLine=2385.0, startOffset=126.0, endOffset=128.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2396.0, endLine=2396.0, startOffset=9.0, endOffset=11.0}, msg=+1}]}, {locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2396.0, endLine=2396.0, startOffset=40.0, endOffset=42.0}, msg=+1}]}]	default-organization	{startLine=2214.0, endLine=2214.0, startOffset=34.0, endOffset=57.0}	1h4min	AWyZ3UFJaNha9nbSKYxK	aef728b0263c4402aea30a217508c6c4	OPEN
MINOR	2019-08-16T16:53:36+0700	[]	2232.0	false	squid:S1226	omni-svu-connector-all	5min	"Introduce a new variable instead of reusing the parameter ""isBuildingMainlyResidential""."	2019-08-16T16:53:36+0700	BUG	[based-on-misra]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java	[]	default-organization	{startLine=2232.0, endLine=2232.0, startOffset=12.0, endOffset=39.0}	5min	AWyZ3UFIaNha9nbSKYxJ	673d00f7cd0e66ee91bd3e2041a2a533	OPEN
MAJOR	2019-08-16T16:53:36+0700	[]	2232.0	false	squid:S1854	omni-svu-connector-all	15min	"Remove this useless assignment to local variable ""isBuildingMainlyResidential""."	2019-08-16T16:53:36+0700	CODE_SMELL	[cert, cwe, unused]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java	[]	default-organization	{startLine=2232.0, endLine=2232.0, startOffset=40.0, endOffset=46.0}	15min	AWyZ3UFJaNha9nbSKYxL	673d00f7cd0e66ee91bd3e2041a2a533	OPEN
MINOR	2019-08-16T16:53:36+0700	[]	2312.0	false	squid:S1126	omni-svu-connector-all	2min	Replace this if-then-else statement by a single method invocation.	2019-08-16T16:53:36+0700	CODE_SMELL	[clumsy]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java	[]	default-organization	{startLine=2312.0, endLine=2312.0, startOffset=9.0, endOffset=11.0}	2min	AWyZ3UFJaNha9nbSKYxM	4ab7ac9e94ee669edeb46c9f40aa6aae	OPEN
MAJOR	2019-08-16T16:53:36+0700	[]	2437.0	false	squid:S1141	omni-svu-connector-all	20min	Extract this nested try block into a separate method.	2019-08-16T16:53:36+0700	CODE_SMELL	[confusing, error-handling]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java	[{locations=[{component=omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/connectors/common/ACORDBizPackQuoteCommon.java, textRange={startLine=2425.0, endLine=2425.0, startOffset=6.0, endOffset=9.0}, msg=Nesting + 1}]}]	default-organization	{startLine=2437.0, endLine=2437.0, startOffset=7.0, endOffset=10.0}	20min	AWyZ3UFIaNha9nbSKYxI	80d5b17efc16ace990c07580fc3e85eb	OPEN
INFO	2019-08-16T16:53:36+0700	[]	295.0	false	squid:S1135	omni-svu-connector-all		Complete the task associated to this TODO comment.	2019-08-16T16:53:36+0700	CODE_SMELL	[cwe]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/model/omnichannel/SMEPatchQuoteRequest.java	[]	default-organization	{startLine=295.0, endLine=295.0, startOffset=0.0, endOffset=36.0}		AWyZ3UuQaNha9nbSKYxm	36364ec9aa2f0995d283c1c6a92d2e5c	OPEN
MAJOR	2019-08-16T16:53:36+0700	[]	1739.0	false	squid:UnusedPrivateMethod	omni-svu-connector-all	5min	"Remove this unused private ""getCoverageLimitAmount"" method."	2019-08-16T16:53:36+0700	CODE_SMELL	[unused]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/processor/ACORDBizPackAdjustPremiumQuoteRequestProcessor.java	[]	default-organization	{startLine=1739.0, endLine=1739.0, startOffset=16.0, endOffset=38.0}	5min	AWyZ3UZEaNha9nbSKYxR	1e76e4a0be8007da905fcf1b84652046	OPEN
MAJOR	2019-08-16T16:53:36+0700	[]	2556.0	false	squid:S1854	omni-svu-connector-all	15min	"Remove this useless assignment to local variable ""premiumResponse""."	2019-08-16T16:53:36+0700	CODE_SMELL	[cert, cwe, unused]	omni-svu-connector-all:svu-processor-service/src/main/java/com/dxc/diaas/svu/processor/processor/ACORDBizPackAdjustPremiumQuoteRequestProcessor.java	[]	default-organization	{startLine=2556.0, endLine=2556.0, startOffset=42.0, endOffset=141.0}	15min	AWyZ3UZEaNha9nbSKYxP	240100e67ff64dc3aca8f2215d8321b3	OPEN
